provincia,descripción,precio,caracteristicas
Cantabria,"Piso en calle Leonardo Rucabado, Centro, Castro-Urdiales","209,000 €",3 hab. 100 m² Planta 7ª exterior con ascensor
Cantabria,"Piso en avenida de la Libertad, Centro, Castro-Urdiales","225,000 €",2 hab. 72 m² Planta 1ª exterior con ascensor
Cantabria,"Chalet pareado en Barrio Samano, Samano, Castro-Urdiales","399,000 €",4 hab. 308 m²
Cantabria,"Piso en calle Arturo Dúo Vital, Centro, Castro-Urdiales","240,000 €",3 hab. 104 m² Planta 2ª exterior con ascensor
Cantabria,"Dúplex en Nicolas Torre, Cotolino, Castro-Urdiales","299,000 €",3 hab. 120 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en calle 1 de Mayo, Playa Ostende, Castro-Urdiales","229,000 €",3 hab. 113 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en calle del Voluntariado, Centro, Castro-Urdiales","228,000 €",2 hab. 80 m² Bajo exterior sin ascensor
Cantabria,"Chalet adosado en Montealegre, Samano, Castro-Urdiales","280,000 €",3 hab. 120 m²
Cantabria,"Piso en El Puntal, Laredo","320,000 €",3 hab. 108 m² Planta 7ª exterior con ascensor
Cantabria,"Piso en Zona Playa, Laredo","129,000 €",2 hab. 60 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en Zona Playa, Laredo","68,000 €",1 hab. 30 m² Planta 6ª exterior con ascensor
Cantabria,"Piso en calle Antonio López, Castilla - Hermida, Santander","139,900 €",1 hab. 65 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en El Puntal, Laredo","475,000 €",4 hab. 166 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en El Puntal, Laredo","390,000 €",3 hab. 149 m² Planta 7ª exterior con ascensor
Cantabria,"Piso en calle Nuestra Señora, Centro, Castro-Urdiales","125,000 €",2 hab. 51 m² Planta 1ª exterior sin ascensor
Cantabria,"Chalet adosado en Carlos V, Laredo","750,000 €",6 hab. 300 m²
Cantabria,"Piso en avenida Derechos Humanos, Zona Playa, Laredo","117,000 €",2 hab. 55 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Chinchapapa, Cotolino, Castro-Urdiales","157,000 €",1 hab. 60 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en El Puntal, Laredo","169,000 €",1 hab. 58 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en Centro, Castro-Urdiales","495,000 €",4 hab. 140 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en Centro, Laredo","245,000 €",2 hab. 77 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en Bajada de San Juan, Monte, Santander","205,000 €",2 hab. 69 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle de Silvestre Ochoa, 15, Playa Ostende, Castro-Urdiales","245,000 €",3 hab. 88 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle Río Cubas, 11, Puerto Chico, Santander","164,000 €",3 hab. 65 m² Planta 2ª exterior sin ascensor
Cantabria,"Piso en avenida de la Constitución, 10, Monte, Santander","250,000 €",2 hab. 101 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en avenida de la Libertad, Zona Playa, Laredo","360,000 €",3 hab. 119 m² Planta 12ª exterior con ascensor
Cantabria,"Piso en Zona Playa, Laredo","132,000 €",2 hab. 65 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en Ris, Noja","110,000 €",1 hab. 55 m² Planta 1ª exterior sin ascensor
Cantabria,"Piso en Tregadín, Noja","150,000 €",2 hab. 76 m² Planta 2ª
Cantabria,"Piso en Zona Playa, Laredo","195,000 €",3 hab. 90 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en Ris, Noja","149,000 €",2 hab. 65 m² Planta 3ª con ascensor
Cantabria,"Dúplex en Cuatro Caminos, Santander","405,000 €",4 hab. 162 m² Planta 9ª exterior con ascensor
Cantabria,"Piso en calle Joaquín Salas, Peñacastillo - Nuevamontaña, Santander","145,000 €",3 hab. 63 m² Bajo exterior con ascensor
Cantabria,"Piso en calle Tantín, Centro - Ayuntamiento, Santander","190,000 €",5 hab. 146 m² Planta 3ª exterior sin ascensor
Cantabria,"Piso en cuesta de la Atalaya, Centro - Ayuntamiento, Santander","315,000 €",4 hab. 178 m² Planta 3ª exterior sin ascensor
Cantabria,"Piso en calle Ruiz Zorrilla, Castilla - Hermida, Santander","155,000 €",1 hab. 58 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en avenida Derechos Humanos, El Puntal, Laredo","129,900 €",2 hab. 74 m² Planta 1ª exterior sin ascensor
Cantabria,"Piso en avenida Francia, 61, Zona Playa, Laredo","318,000 €",4 hab. 159 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en Centro, Castro-Urdiales","225,000 €",3 hab. 98 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en Centro, Castro-Urdiales","179,000 €",3 hab. 94 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en paseo General Dávila, Cuatro Caminos, Santander","299,000 €",3 hab. 114 m² Planta 3ª exterior con ascensor
Cantabria,"Chalet pareado en El Puntal, Laredo","440,000 €",4 hab. 262 m²
Cantabria,"Piso en calle Amos de Escalante, Centro - Ayuntamiento, Santander","625,000 €",4 hab. 202 m² Planta 7ª exterior con ascensor
Cantabria,"Piso en calle de la Ronda, Centro, Castro-Urdiales","250,000 €",2 hab. 75 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en Primero De Mayo, Playa Ostende, Castro-Urdiales","249,000 €",2 hab. 88 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en De la granja, Cotolino, Castro-Urdiales","275,000 €",2 hab. 86 m² Bajo exterior con ascensor
Cantabria,"Casa o chalet independiente en Lugar Barrio Brazomar, Cotolino, Castro-Urdiales","410,000 €",4 hab. 236 m²
Cantabria,"Piso en Teresa De Calcuta, 10, Cotolino, Castro-Urdiales","178,000 €",2 hab. 75 m² Planta 1ª exterior con ascensor
Cantabria,"Ático en paseo Ocharan Mazas, 7, Brazomar, Castro-Urdiales","750,000 €",4 hab. 150 m² Planta 5ª exterior con ascensor
Cantabria,"Dúplex en calle Ataúlfo Argenta, 6, Cotolino, Castro-Urdiales","370,000 €",3 hab. 137 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en calle Floranes, Cuatro Caminos, Santander","199,900 €",2 hab. 67 m² Planta 6ª exterior con ascensor
Cantabria,"Piso en calle Leonardo Rucabado, 11, Centro, Castro-Urdiales","210,000 €",3 hab. 105 m² Planta 6ª exterior con ascensor
Cantabria,"Chalet adosado en calle del Alto de la Cruz, 54, Cotolino, Castro-Urdiales","324,900 €",3 hab. 210 m²
Cantabria,"Piso en calle Emperador, Centro, Laredo","120,000 €",3 hab. 85 m² Planta 3ª exterior sin ascensor
Cantabria,"Piso en paseo Menéndez Pelayo, Centro, Castro-Urdiales","495,000 €",3 hab. 151 m² Planta 30ª exterior con ascensor
Cantabria,"Casa o chalet independiente en Barrio Mioño, 2075, Cotolino, Castro-Urdiales","410,000 €",4 hab. 236 m²
Cantabria,"Ático en calle de Silvestre Ochoa, Centro, Castro-Urdiales","460,000 €",2 hab. 99 m² Planta 5ª exterior con ascensor
Cantabria,"Chalet pareado en samano el moral, Samano, Castro-Urdiales","340,000 €",4 hab. 270 m²
Cantabria,"Chalet adosado en calle de Montecerredo, Brazomar, Castro-Urdiales","384,900 €",3 hab. 250 m²
Cantabria,"Piso en Menendez Pelayo, Brazomar, Castro-Urdiales","250,000 €",2 hab. 80 m² Planta 2ª exterior con ascensor
Cantabria,"Chalet pareado en La Ribera Otañes, Otañes-Baltezana-Ontón, Castro-Urdiales","225,900 €",3 hab. 115 m²
Cantabria,"Piso en Leonardo Rucabado, Brazomar, Castro-Urdiales","240,000 €",3 hab. 100 m² Planta 3ª exterior con ascensor
Cantabria,"Dúplex en Concha Espina, Brazomar, Castro-Urdiales","265,000 €",4 hab. 140 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle Castilla, 19, Castilla - Hermida, Santander","249,000 €",2 hab. 87 m² Planta 6ª exterior con ascensor
Cantabria,"Casa o chalet independiente en avenida Derechos Humanos, El Puntal, Laredo","319,000 €",5 hab. 189 m²
Cantabria,"Piso en calle Martínez Balaguer, Centro, Laredo","245,000 €",3 hab. 113 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle Francisco Tomás y Valiente, Peñacastillo - Nuevamontaña, Santander","169,000 €",2 hab. 74 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle San Lorenzo, Centro, Laredo","155,000 €",3 hab. 85 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en avenida de la Reina Victoria, 1, Puerto Chico, Santander","265,000 €",3 hab. 116 m² Planta 1ª exterior sin ascensor
Cantabria,"Estudio en calle Ardigales, Centro, Castro-Urdiales","100,000 €",64 m² Planta 1ª exterior sin ascensor
Cantabria,"Piso en calle San Fernando, Numancia - San Fernando, Santander","350,000 €",3 hab. 133 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en calle Javier Echevarría, 14, Centro, Castro-Urdiales","190,000 €",5 hab. 112 m² Planta 4ª exterior sin ascensor
Cantabria,"Piso en calle Madrid, 12, Castilla - Hermida, Santander","127,000 €",3 hab. 70 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en calle El Pelegrín, Centro, Laredo","109,900 €",3 hab. 92 m² Planta 2ª exterior sin ascensor
Cantabria,"Dúplex en avenida Riomar, 1, Cotolino, Castro-Urdiales","379,000 €",3 hab. 145 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle Juan de Herrera, 16, Centro - Ayuntamiento, Santander","380,000 €",3 hab. 88 m² Planta 8ª exterior con ascensor
Cantabria,"Piso en calle San Lorenzo, 1, Centro, Laredo","142,000 €",3 hab. 96 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Centro, Castro-Urdiales","209,000 €",3 hab. 100 m² Planta 2ª exterior sin ascensor
Cantabria,"Piso en calle San Lorenzo, 1, Centro, Laredo","142,000 €",3 hab. 96 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Brazomar, Castro-Urdiales","169,000 €",2 hab. 75 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en avenida de Francia, Zona Playa, Laredo","385,000 €",4 hab. 210 m² Planta 1ª exterior con ascensor
Cantabria,"Casa o chalet independiente en calle Pintor Francisco Velasco, Centro, Laredo","239,900 €",3 hab. 164 m²
Cantabria,"Piso en calle León Felipe, Puerto Chico, Santander","209,000 €",2 hab. 83 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Menendez Pelayo, Brazomar, Castro-Urdiales","266,900 €",2 hab. 78 m² Planta 2ª exterior con ascensor
Cantabria,"Chalet adosado en Barrio Mioño, Mioño-Santullán, Castro-Urdiales","290,000 €",2 hab. 200 m²
Cantabria,"Piso en Menéndez Pelayo, Brazomar, Castro-Urdiales","240,000 €",2 hab. 65 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en Primero De Mayo, Playa Ostende, Castro-Urdiales","243,000 €",2 hab. 81 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en Leonardo Rucabado, Centro, Castro-Urdiales","170,000 €",2 hab. 69 m² Planta 2ª exterior con ascensor
Cantabria,"Casa o chalet independiente en rocio, 12, El Sardinero, Santander","1,750,000 €",9 hab. 566 m²
Cantabria,"Chalet adosado en avenida de Cantabria, 15, La Pereda, Santander","469,000 €",5 hab. 179 m²
Cantabria,"Piso en calle Castelar, 3, Puerto Chico, Santander","2,500,000 €",4 hab. 324 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle Isaac Peral, 24, Numancia - San Fernando, Santander","240,000 €",4 hab. 165 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en calle Girasol, 7, Cuatro Caminos, Santander","179,900 €",2 hab. 56 m² Planta 1ª exterior sin ascensor
Cantabria,"Piso en calle Castelar, 35, Puerto Chico, Santander","1,150,000 €",5 hab. 175 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en calle José María de Cossío, 27, Alisal - Cazoña - San Román, Santander","145,000 €",3 hab. 108 m² Planta 5ª exterior con ascensor
Cantabria,"Casa o chalet independiente en Río Cubas, 1, Puerto Chico, Santander","780,000 €",9 hab. 326 m²
Cantabria,"Piso en Barrio Brazomar, Brazomar, Castro-Urdiales","185,000 €",2 hab. 75 m² Bajo exterior con ascensor
Cantabria,"Piso en calle Girasol, Cuatro Caminos, Santander","159,900 €",1 hab. 47 m² Planta 2ª exterior sin ascensor
Cantabria,"Casa o chalet independiente en avenida de la Libertad, El Puntal, Laredo","485,000 €",6 hab. 260 m²
Cantabria,"Piso en Diseminado Laredo, 6013, El Callejo - La Pesquera - La Arenosa, Laredo","80,000 €",3 hab. 70 m² Planta 9ª exterior con ascensor
Cantabria,"Casa o chalet independiente en avenida de Francia, El Puntal, Laredo","465,000 €",5 hab. 245 m²
Cantabria,"Piso en Centro, Laredo","192,000 €",1 hab. 57 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en Palacio, Noja","120,000 €",2 hab. 65 m² Planta 3ª
Cantabria,"Chalet en El Arco-Rota-Fonegra, Noja","300,000 €",3 hab. 260 m²
Cantabria,"Chalet en Tregadín, Noja","325,000 €",3 hab. 276 m²
Cantabria,"Piso en Ris, Noja","125,000 €",2 hab. 63 m² Planta 2ª
Cantabria,"Piso en Centro, Laredo","245,000 €",3 hab. 105 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en Centro, Laredo","245,000 €",3 hab. 105 m² Planta 4ª exterior con ascensor
Cantabria,"Casa o chalet independiente en avenida de la Libertad, Zona Playa, Laredo","297,000 €",4 hab. 140 m²
Cantabria,"Piso en calle de Morales Erostarbe, Playa Ostende, Castro-Urdiales","184,000 €",3 hab. 100 m² Planta 3ª exterior con ascensor
Cantabria,"Chalet adosado en avenida de Valdecilla, Cuatro Caminos, Santander","369,000 €",4 hab. 160 m²
Cantabria,"Piso en Zona Playa, Laredo","129,900 €",2 hab. 75 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle Eduardo García, Peñacastillo - Nuevamontaña, Santander","113,000 €",2 hab. 68 m² Planta 3ª con ascensor
Cantabria,"Piso en calle Somorrostro, Centro - Ayuntamiento, Santander","255,000 €",2 hab. 73 m² Planta 3ª exterior con ascensor
Cantabria,"Chalet pareado en paseo Menéndez Pelayo, General Dávila, Santander","850,000 €",8 hab. 351 m²
Cantabria,"Piso en calle Alta, Numancia - San Fernando, Santander","187,000 €",3 hab. 99 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en calle San Fernando, Numancia - San Fernando, Santander","365,000 €",3 hab. 145 m² Planta 4ª exterior con ascensor
Cantabria,"Chalet adosado en Barrio de Santullán, Mioño-Santullán, Castro-Urdiales","260,000 €",3 hab. 182 m²
Cantabria,"Dúplex en avenida Doctor Diego Madrazo, Cueto, Santander","540,000 €",4 hab. 163 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle Lealtad, Centro - Ayuntamiento, Santander","495,000 €",3 hab. 110 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle Castelar, 1, Puerto Chico, Santander","1,000,000 €",4 hab. 211 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en calle Castelar, 3, Puerto Chico, Santander","990,000 €",3 hab. 110 m² Planta 1ª exterior con ascensor
Cantabria,"Dúplex en concha espina, Brazomar, Castro-Urdiales","265,000 €",4 hab. 140 m² Planta 1ª exterior con ascensor
Cantabria,"Casa o chalet independiente en avenida de Francia, Zona Playa, Laredo","365,000 €",4 hab. 240 m²
Cantabria,"Piso en calle Castelar, Santander, 1, Puerto Chico, Santander","2,000,000 €",4 hab. 250 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en Zona Playa, Laredo","210,000 €",2 hab. 60 m² Planta 10ª exterior con ascensor
Cantabria,"Piso en calle Castelar, 3, Puerto Chico, Santander","2,500,000 €",4 hab. 324 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en Victorino Gainza, Centro, Castro-Urdiales","210,000 €",2 hab. 76 m² Planta 6ª exterior con ascensor
Cantabria,"Piso en Poeta José Hierro, Centro, Castro-Urdiales","152,000 €",1 hab. 53 m² Bajo exterior con ascensor
Cantabria,"Chalet adosado en calle Paco Labiano, Playa Ostende, Castro-Urdiales","383,000 €",4 hab. 210 m²
Cantabria,"Chalet adosado en Aureliano Linares Rivas, Centro, Castro-Urdiales","497,900 €",4 hab. 230 m²
Cantabria,"Piso en Manuel Diaz Munio, Centro, Castro-Urdiales","258,000 €",2 hab. 88 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en calle Ruiz de Alda, Castilla - Hermida, Santander","245,000 €",3 hab. 135 m² Planta 5ª exterior con ascensor
Cantabria,"Casa o chalet independiente en bº santullan, Mioño-Santullán, Castro-Urdiales","340,000 €",3 hab. 370 m²
Cantabria,"Casa o chalet independiente en brazomar, Cotolino, Castro-Urdiales","360,000 €",3 hab. 198 m²
Cantabria,"Piso en republica argentina, Centro, Castro-Urdiales","360,000 €",3 hab. 140 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en avenida de Chinchapapa, Cotolino, Castro-Urdiales","157,000 €",1 hab. 55 m² Planta 1ª exterior con ascensor
Cantabria,"Casa o chalet independiente en bº santullan, Mioño-Santullán, Castro-Urdiales","340,000 €",3 hab. 370 m²
Cantabria,"Piso en Andres de la Llosa, Brazomar, Castro-Urdiales","220,000 €",2 hab. 80 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Ocho De Marzo, Cotolino, Castro-Urdiales","220,000 €",2 hab. 80 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en Brazomar, Brazomar, Castro-Urdiales","185,000 €",2 hab. 75 m² Bajo exterior con ascensor
Cantabria,"Piso en El Sardinero, Santander","960,000 €",5 hab. 198 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en calle Los Pinares, Ris, Noja","250,000 €",3 hab. 90 m² Bajo exterior con ascensor
Cantabria,"Piso en calle la Brava, Ris, Noja","145,000 €",2 hab. 60 m² Bajo exterior sin ascensor
Cantabria,"Piso en calle Tantín, Centro - Ayuntamiento, Santander","140,000 €",5 hab. 102 m² Planta 3ª sin ascensor
Cantabria,"Piso en avenida Ris, Palacio, Noja","105,000 €",2 hab. 60 m² Planta 1ª exterior sin ascensor
Cantabria,"Estudio en Zona Playa, Laredo","68,000 €",35 m² Planta 6ª con ascensor
Cantabria,"Piso en calle Castelar, Santander, 1, Puerto Chico, Santander","995,000 €",3 hab. 152 m² Entreplanta exterior con ascensor
Cantabria,"Piso en avenida de España, Centro, Laredo","200,000 €",2 hab. 85 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle Cádiz, Centro - Ayuntamiento, Santander","349,000 €",4 hab. 139 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en calle los Nogales, Pedroso, Noja","175,000 €",2 hab. 70 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle el Arco, Palacio, Noja","142,000 €",2 hab. 60 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle los Nogales, Palacio, Noja","149,000 €",2 hab. 60 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle la Maza, Palacio, Noja","165,000 €",2 hab. 65 m² Bajo exterior con ascensor
Cantabria,"Piso en calle Palacio, Palacio, Noja","135,000 €",2 hab. 65 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Ca-451, Ris, Noja","155,000 €",2 hab. 62 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en avenida Reina Victoria, Puerto Chico, Santander","825,000 €",4 hab. 200 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en avenida de la Reina Victoria, El Sardinero, Santander","825,000 €",4 hab. 201 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en calle libertad, Monte, Santander","345,000 €",3 hab. 111 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en calle José María de Cossío, Alisal - Cazoña - San Román, Santander","95,000 €",3 hab. 73 m² Planta 4ª exterior sin ascensor
Cantabria,"Piso en calle Ataúlfo Argenta, Cotolino, Castro-Urdiales","187,000 €",2 hab. 70 m² Planta 1ª exterior con ascensor
Cantabria,"Casa o chalet independiente en Cotolino, Castro-Urdiales","485,000 €",4 hab. 246 m²
Cantabria,"Ático en plaza Hermandad De Las Marismas, Cotolino, Castro-Urdiales","145,000 €",1 hab. 47 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en El Sardinero, Santander","799,000 €",4 hab. 180 m² Planta 7ª exterior con ascensor
Cantabria,"Piso en leonardo rucabado, Centro, Castro-Urdiales","170,000 €",2 hab. 69 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en Valdenoja, Santander","239,000 €",2 hab. 70 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Carlos Haya, Castilla - Hermida, Santander","145,000 €",3 hab. 88 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en Centro, Laredo","275,000 €",1 hab. 55 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle del Monte, General Dávila, Santander","159,000 €",2 hab. 72 m² Planta 3ª exterior sin ascensor
Cantabria,"Piso en calle Calvo Sotelo, Centro - Ayuntamiento, Santander","699,000 €",3 hab. 170 m² Planta 4ª exterior con ascensor
Cantabria,"Piso en calle portugal, Cuatro Caminos, Santander","112,000 €",3 hab. 65 m² Planta 3ª exterior sin ascensor
Cantabria,"Casa o chalet independiente en Centro, Laredo","210,000 €",8 hab. 160 m²
Cantabria,"Piso en avenida Ris, Ris, Noja","113,000 €",2 hab. 58 m² Planta 2ª exterior sin ascensor
Cantabria,"Piso en Menendez pelayo, Brazomar, Castro-Urdiales","155,000 €",3 hab. 90 m² Planta 3ª exterior con ascensor
Cantabria,"Piso en avenida del Deporte, Alisal - Cazoña - San Román, Santander","125,000 €",4 hab. 105 m² Planta 2ª exterior sin ascensor
Cantabria,"Piso en avenida de los Castros, 145, Los Castros, Santander","285,000 €",3 hab. 100 m² Planta 4ª exterior con ascensor
Cantabria,"Ático en calle la Sotavesilla, 6, Monte, Santander","315,000 €",2 hab. 89 m² Planta 2ª exterior con ascensor
Cantabria,"Casa o chalet independiente en calle Aureliano Linares Rivas, 17, Centro, Castro-Urdiales","620,000 €",5 hab. 350 m²
Cantabria,"Casa o chalet independiente en calle Paco Labiano, 5, Playa Ostende, Castro-Urdiales","790,000 €",4 hab. 372 m²
Cantabria,"Piso en calle Pérez Galdós, 3, Centro, Castro-Urdiales","165,000 €",1 hab. 46 m² Planta 3ª exterior con ascensor
Cantabria,"Dúplex en paseo Menéndez Pelayo, 42, Brazomar, Castro-Urdiales","186,000 €",2 hab. 77 m² Planta 1ª exterior sin ascensor
Cantabria,"Piso en calle Castelar, 21, Puerto Chico, Santander","399,000 €",2 hab. 82 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en avenida Cantabria, 26, Valdenoja, Santander","355,000 €",2 hab. 62 m² Planta 6ª exterior con ascensor
Cantabria,"Piso en calle la Torre, 20, Monte, Santander","235,000 €",1 hab. 71 m² Planta 2ª exterior con ascensor
Cantabria,"Dúplex en menendez pelayo, Brazomar, Castro-Urdiales","186,000 €",2 hab. 75 m² Planta 1ª exterior sin ascensor
Cantabria,"Chalet adosado en avenida de España, Cotolino, Castro-Urdiales","375,000 €",3 hab. 223 m²
Cantabria,"Piso en eleazar ortiz, Cotolino, Castro-Urdiales","365,400 €",2 hab. 95 m² Entreplanta exterior con ascensor
Cantabria,"Piso en calle la Sotavesilla, 4, Monte, Santander","310,000 €",3 hab. 106 m² Planta 1ª exterior con ascensor
Cantabria,"Piso en calle José María Pereda, 6, Centro, Laredo","219,000 €",4 hab. 190 m² Planta 1ª exterior sin ascensor
Cantabria,"Chalet pareado en puente Barrio el, 17, Oruña, Piélagos","275,000 €",3 hab. 182 m²
Cantabria,"Casa o chalet independiente en Barrio Adal Primosto, 17, Barcena de Cicero","370,000 €",5 hab. 290 m²
Cantabria,"Casa o chalet independiente en avenida Menéndez Pelayo, 4, Bezana, Santa Cruz de Bezana","448,000 €",5 hab. 350 m²
Cantabria,"Chalet adosado en calle Santo Domingo, 4, Santillana del Mar","845,000 €",6 hab. 436 m²
Cantabria,"Chalet en calle la Piedra del Cormoran, 22, Comillas","290,000 €",4 hab. 158 m²
Cantabria,"Chalet adosado en calle República de Perú, El Puntal, Laredo","312,000 €",5 hab. 200 m²
Cantabria,"Piso en avenida de la Libertad, 33, Mompia, Santa Cruz de Bezana","159,900 €",2 hab. 77 m² Planta 3ª con ascensor
Cantabria,"Dúplex en Dalia, Cuatro Caminos, Santander","360,000 €",3 hab. 178 m² Planta 2ª exterior sin ascensor
Cantabria,"Dúplex en Dalia, Cuatro Caminos, Santander","360,000 €",3 hab. 178 m² Planta 2ª exterior sin ascensor
Cantabria,"Piso en calle Castilla, Castilla - Hermida, Santander","145,000 €",3 hab. 88 m² Planta 4ª interior con ascensor
Cantabria,"Piso en Ris, Noja","179,000 €",2 hab. 64 m² Planta 2ª con ascensor
Cantabria,"Casa o chalet independiente en El Palacio, Pontejos","680,000 €",4 hab. 411 m²
Cantabria,Casa o chalet independiente en Isla,"348,000 €",3 hab. 175 m²
Cantabria,Chalet en Arnuero,"239,000 €",3 hab. 90 m²
Cantabria,"Piso en Palacio, Noja","155,000 €",3 hab. 80 m² Planta 1ª sin ascensor
Cantabria,Chalet en Barcena de Cicero,"325,000 €",3 hab. 350 m²
Cantabria,"Piso en El Puntal, Laredo","207,000 €",2 hab. 81 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en calle Santander, Colindres","143,000 €",2 hab. 70 m² Planta 1ª exterior con ascensor
Cantabria,"Casa o chalet independiente en calle Bellavista, Barcena de Cicero","315,000 €",5 hab. 250 m²
Cantabria,Chalet en Meruelo,"325,000 €",6 hab. 250 m²
Cantabria,"Piso en calle Los Caserios, 8, Centro, Castro-Urdiales","350,000 €",3 hab. 96 m² Bajo exterior con ascensor
Cantabria,"Piso en paseo Ocharan Mazas, 2, Centro, Castro-Urdiales","495,000 €",4 hab. 140 m² Planta 2ª exterior con ascensor
Cantabria,"Piso en calle Santander, 8, Centro, Castro-Urdiales","293,000 €",5 hab. 187 m² Planta 2ª exterior sin ascensor
Cantabria,"Casa o chalet independiente en calle La Arnía, 9, Soto de la Marina, Santa Cruz de Bezana","1,290,000 €",5 hab. 439 m²
Cantabria,"Piso en calle República Argentina, 5, Centro, Castro-Urdiales","420,000 €",4 hab. 154 m² Planta 6ª exterior con ascensor
Cantabria,"Dúplex en calle San Andrés, 8, Cotolino, Castro-Urdiales","420,000 €",3 hab. 168 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en calle República Argentina, 5, Centro, Castro-Urdiales","360,000 €",4 hab. 154 m² Planta 5ª exterior con ascensor
Cantabria,"Piso en Barrio Sámano-Vallegón, 1, Samano, Castro-Urdiales","800,000 €",3 hab. 860 m² Planta 1ª exterior sin ascensor
Cantabria,"Piso en Subida Campijo, 5, Playa Ostende, Castro-Urdiales","260,000 €",2 hab. 75 m² Bajo exterior con ascensor
Cantabria,"Piso en calle Marina, 1, Centro - Ayuntamiento, Santander","350,000 €",2 hab. 120 m² Planta 3ª exterior con ascensor
Cantabria,"Chalet adosado en avenida De España, Cotolino, Castro-Urdiales","375,000 €",4 hab. 260 m²
Cantabria,"Piso en calle de la Ronda, Centro, Castro-Urdiales","220,000 €",3 hab. 81 m² Planta 6ª exterior con ascensor
Cantabria,"Chalet adosado en avenida Chinchapapa, Cotolino, Castro-Urdiales","490,000 €",7 hab. 243 m²
Cantabria,"Chalet adosado en Barrio Sámano-Helguera, Samano, Castro-Urdiales","335,000 €",4 hab. 192 m²
Cantabria,"Piso en calle Antonio Burgos, Centro, Castro-Urdiales","299,000 €",2 hab. 79 m² Planta 6ª exterior con ascensor
